coin,sell_spread_ma_M,buy_spread_ma_M,sell_spread_sd_M,buy_spread_sd_M,sell_spread_ma_L,buy_spread_ma_L,sell_spread_sd_L,buy_spread_sd_L,current_sell_spread,current_buy_spread,score,hyperliquid_funding_rate,hyperliquid_open_interest,hyperliquid_day_volume
SAND/USDT,0.0009133815099084981,0.0014926575192211633,0.000669232674042281,0.0006512726937524006,0.0008753618215704103,0.0014046775886793633,0.00034131026592151636,0.00029565525507784223,0.001459584855640512,0.0019511589909430786,-0.5378540346617897,1.25e-05,390203.97,2570420.32773
TIA/USDT,0.000799863452968767,0.0013103072098876597,0.00048228576357220004,0.0004893002594434061,0.0005786337072537319,0.0011030851965082105,0.00039544619680083077,0.0004145951771751486,0.0008898224053459469,0.0014985364693208371,-0.5796342353020039,1.25e-05,13480533.881099999,21947486.34896
DYDX/USDT,0.0007481555451818357,0.001855888488618629,0.0005432834367000639,0.0005289106476974057,0.0008043698118329237,0.0019054939289592952,0.0005670448547242879,0.00048212844162093705,0.0008671576440307862,0.002054780585580789,-0.605950235937327,1.25e-05,9364166.14854,11145213.86907
ORDI/USDT,0.0006951516312758844,0.0013977581780692284,0.00045297589366718446,0.00040715689953115935,0.0004708101376315965,0.0010651640308643139,0.00038746308389543883,0.00042576709666733225,0.0006156983310156907,0.001372133039753809,-0.6164777251796479,1.25e-05,1864757.52864,5537427.38964
ALGO/USDT,0.0004141661327786111,0.0012058496028158842,0.0004823729998430054,0.00047543059397704864,0.0004902097564598814,0.001190538559645188,0.00026718720883445006,0.000293173496499018,0.001122209547082932,0.0018870081441638646,-0.61808195497183,1.25e-05,785599.45912,1116673.69155
NOT/USDT,0.0002281177585860454,0.000906478536904193,0.00042170663368020346,0.0004076844586566394,0.0003714060992872976,0.0010632510238762286,0.00016132598908204427,0.00015224614325666205,0.0002478310905275945,0.0009915750320440547,-0.6318271227750881,1.25e-05,996900.58819,1223673.147398
ETC/USDT,0.0007797367121642432,0.0012851218642513,0.00048443048572591174,0.0004915230087955837,0.00045812434903960876,0.0009662597904882184,0.0003185830669453525,0.0003580991155892331,0.0005036530671296296,0.0010373896229669312,-0.6337341737418086,1.105e-05,1352500.71792,2720343.34155
AVAX/USDT,0.0006743695851059087,0.0009606185754116466,0.0005369743092684515,0.0005515425281417287,8.424713432512743e-05,0.00032789142827047125,0.0003069900047652453,0.0003474969077850934,9.985110669536209e-05,0.00029963034523451443,-0.6638399995749628,1.25e-05,15046372.2108,37883947.87070002
GOAT/USDT,0.0007194189443803333,0.0015730518279810032,0.0006215400596160937,0.0005919262603296863,0.0007779780439702149,0.0016090788319862686,0.0008218097270542233,0.0007829071765525744,0.0018260582633641228,0.0025663722921700567,-0.664474171638011,1.25e-05,21601150.733099997,20837445.04250001
DOT/USDT,-0.00034351991657918,0.00015312167594279077,0.0004130290589278241,0.0003989395479636992,-0.0005074360194149847,3.108799717120497e-05,0.00022278750818701377,0.00023303343944861837,-0.0003038405298716875,0.00014634401887907234,-0.6965036603431514,1.25e-05,2528944.0263,8923532.10785
