coin,sell_spread_ma_M,buy_spread_ma_M,sell_spread_sd_M,buy_spread_sd_M,sell_spread_ma_L,buy_spread_ma_L,sell_spread_sd_L,buy_spread_sd_L,current_sell_spread,current_buy_spread,score,hyperliquid_funding_rate,hyperliquid_open_interest,hyperliquid_day_volume
AVAX/USDT,0.0006656678982514757,0.0009499013998902736,0.0005346042081377675,0.000548562841549083,0.00013963075472242265,0.0003954389021996391,0.0003106896179997434,0.00033555900766573873,0.0006785956674159006,0.0009383614548915703,-0.7343901607937332,1.25e-05,14964789.662400002,39529081.66087002
NOT/USDT,0.00024123311570255795,0.0009241789321343119,0.000390528755623069,0.00038761865652049595,0.0004024837626165349,0.0011148457747113428,0.00016572583129915945,0.00019975266728615817,0.0005003951763041744,0.0013766819902593587,-0.7404121852253371,1.25e-05,993393.7459239999,1232741.293886
ORDI/USDT,0.0006890498326003947,0.0013917227848176741,0.0005244199915481402,0.0004784705051245748,0.0004067643278868074,0.0010404457777592714,0.00033939780781328086,0.00035965630960517437,0.0003102276194787901,0.0010440516418044343,-0.8188409890811614,1.25e-05,1871901.21204,5515776.24048
GALA/USDT,0.0002490738957005997,0.0009021923487283268,0.000682069265200725,0.0006269733652373147,0.0007926755248367051,0.001416037088034584,0.00042410284919746857,0.0004054946595457418,0.0013472342836684315,0.001980841123305568,-0.8271029561535123,1.25e-05,872330.43337,3172290.533057
PENGU/USDT,,,0.002132242300071338,0.0021418702970812243,0.002794147403808242,0.004300494438730372,0.0014477512798040703,0.0017227983159312386,0.0010686828489439087,0.004440845797861835,-0.8528142995820862,5.899e-05,44484998.414699994,155650106.1690719
JUP/USDT,-0.0006195575199709072,6.591196385671826e-06,0.0004213934143624459,0.00041589840448499915,-0.00011721873329456956,0.0004378317604858128,0.00024856830232755655,0.00021281408560701564,-9.186376274647203e-05,0.0003676343058391017,-0.8641324252815035,1.189e-05,4500131.375440001,5997116.9379
W/USDT,0.0005538752622600129,0.0012387835001256928,0.0005817337398278594,0.0005351529852966697,0.00044074728022604903,0.0011613783786520802,0.00020460205311525153,0.0002687584040095476,0.00041676149655048473,0.0012213161810544595,-0.8713819062285973,1.25e-05,1008802.3909600001,1843128.554487
AAVE/USDT,0.0008038956486502856,0.0012467759889070098,0.0005695283568503638,0.0005472862790281663,0.0005520717601065439,0.001045280398186276,0.0006597966503857809,0.000592106833323953,0.00029369670099952056,0.000583707782267703,-0.8816607574637378,1.25e-05,30336217.867799997,79015926.6872
TIA/USDT,0.0007955965356754473,0.0013068442308363242,0.000480888671950748,0.0004843503990659469,0.0006121934277427074,0.0011285249623065507,0.0003553416502875567,0.00037382897312829196,0.0003150135341292364,0.0009306538609619625,-0.9059443953311781,1.25e-05,13422657.092799999,22045183.91484
MKR/USDT,0.0009004396524144931,0.0015817793547918276,0.0008023394742001744,0.000674502589507941,0.0008817823161749819,0.0016177692090786804,0.00030214923140826726,0.00031294042553364515,0.0010249852254381685,0.0016920348592203997,-0.9247088615324347,1.25e-05,11836628.59392,8977823.03283
MANTA/USDT,-0.00016833528835486853,0.0008101194031959261,0.0005096970579140909,0.00047337851475172306,0.0001385370650348762,0.0012281611243201327,0.00029550256241874586,0.0002819386170968529,0.00036576615112479774,0.0015560778654958101,-0.9383423579807103,2.14e-06,810596.80112,1930754.965095
